16:36:37 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:38 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:39 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:40 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:41 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:42 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:43 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:44 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:45 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:46 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:47 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:48 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:49 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:50 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:51 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:52 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:53 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:54 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:55 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:56 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:57 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:58 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:59 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:00 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:01 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:02 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:03 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:04 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:05 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:06 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:07 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:08 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:09 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:10 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:11 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:12 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:13 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:14 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:15 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:16 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:17 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:18 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:19 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:20 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:21 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:22 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:23 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:24 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:25 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:26 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:27 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:28 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:29 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:30 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:31 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:32 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:33 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:34 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:37:35 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
